,Season Year,Week,Team Name,Team City,Player,Player Jersey,Position,Injury Status,Injury Status Date,Practice Status,Injury Type
0,2023.0,1.0,Cowboys,Dallas,Jourdan Lewis,2.0,CB,,2023-09-08T00:00:00+00:00,Full Participation In Practice,Foot
1,2023.0,1.0,Cowboys,Dallas,Tyler Smith,73.0,OL,Doubtful,2023-09-08T00:00:00+00:00,Did Not Participate In Practice,Hamstring
2,2023.0,1.0,Cowboys,Dallas,Sam Williams,54.0,DE,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Foot
3,2023.0,1.0,Cowboys,Dallas,Donovan Wilson,6.0,SAF,Doubtful,2023-09-08T00:00:00+00:00,Did Not Participate In Practice,Calf
4,2023.0,1.0,Cowboys,Dallas,Malik Hooker,28.0,SAF,Questionable,2023-09-09T00:00:00+00:00,Did Not Participate In Practice,Illness
5,2023.0,1.0,Cowboys,Dallas,Tyron Smith,77.0,T,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Ankle
6,2023.0,1.0,Broncos,Denver,Chris Manhertz,84.0,TE,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Chest
7,2023.0,1.0,Broncos,Denver,Riley Moss,37.0,CB,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Abdomen
8,2023.0,1.0,Broncos,Denver,Pat Surtain II,2.0,CB,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Ankle
9,2023.0,1.0,Broncos,Denver,Greg Dulcich,80.0,TE,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,NIR - Personal
10,2023.0,1.0,Broncos,Denver,Jerry Jeudy,10.0,WR,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Hamstring
11,2023.0,1.0,Panthers,Carolina,Ihmir Smith-Marsette,11.0,WR,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Ankle
12,2023.0,1.0,Panthers,Carolina,DJ Chark,17.0,WR,Out,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Hamstring
13,2023.0,1.0,Panthers,Carolina,DeShawn Williams,96.0,DT,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Illness
14,2023.0,1.0,Panthers,Carolina,Sam Franklin Jr.,42.0,SAF,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Knee
15,2023.0,1.0,Panthers,Carolina,Terrace Marshall Jr.,88.0,WR,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Back
16,2023.0,1.0,Panthers,Carolina,Adam Thielen,19.0,WR,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Ankle
17,2023.0,1.0,Buccaneers,Tampa Bay,Cody Mauch,69.0,G,Questionable,2023-09-08T00:00:00+00:00,Did Not Participate In Practice,Back
18,2023.0,1.0,Buccaneers,Tampa Bay,Calijah Kancey,94.0,DL,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Calf
19,2023.0,1.0,Buccaneers,Tampa Bay,Kaevon Merriweather,26.0,SAF,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Quad
20,2023.0,1.0,Buccaneers,Tampa Bay,Anthony Nelson,98.0,OLB,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Hamstring
21,2023.0,1.0,Buccaneers,Tampa Bay,Ke'Shawn Vaughn,21.0,RB,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,NIR - Rest
22,2023.0,1.0,Buccaneers,Tampa Bay,Antoine Winfield Jr.,31.0,SAF,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Calf
23,2023.0,1.0,Dolphins,Miami,Justin Bethel,20.0,CB,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Knee
24,2023.0,1.0,Dolphins,Miami,Julian Hill,89.0,TE,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Ankle
25,2023.0,1.0,Dolphins,Miami,Jaylen Waddle,17.0,WR,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Oblique
26,2023.0,1.0,Dolphins,Miami,De'Von Achane,28.0,RB,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Shoulder
27,2023.0,1.0,Dolphins,Miami,Salvon Ahmed,26.0,RB,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Back
28,2023.0,1.0,Dolphins,Miami,Raekwon Davis,98.0,DT,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Elbow
29,2023.0,1.0,Dolphins,Miami,Liam Eichenberg,74.0,OL,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Ribs
30,2023.0,1.0,Dolphins,Miami,Brandon Jones,29.0,SAF,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Knee
31,2023.0,1.0,Dolphins,Miami,Connor Williams,58.0,OL,Questionable,2023-09-08T00:00:00+00:00,Full Participation In Practice,Knee
32,2023.0,1.0,Dolphins,Miami,Terron Armstead,72.0,T,Out,2023-09-08T00:00:00+00:00,Did Not Participate In Practice,Back
33,2023.0,1.0,Dolphins,Miami,Elijah Campbell,22.0,DB,Out,2023-09-08T00:00:00+00:00,Did Not Participate In Practice,Knee
34,2023.0,1.0,49ers,San Francisco,George Odum,30.0,SAF,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Shoulder
35,2023.0,1.0,49ers,San Francisco,Brock Purdy,13.0,QB,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Elbow
36,2023.0,1.0,49ers,San Francisco,Jon Feliciano,55.0,OL,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Illness
37,2023.0,1.0,49ers,San Francisco,Trent Williams,71.0,T,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,NIR - Rest
38,2023.0,1.0,49ers,San Francisco,Oren Burks,48.0,LB,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Knee
39,2023.0,1.0,49ers,San Francisco,Tashaun Gipson Sr.,31.0,SAF,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Back
40,2023.0,1.0,49ers,San Francisco,Talanoa Hufanga,29.0,SAF,Out,2023-09-08T00:00:00+00:00,Full Participation In Practice,Knee
41,2023.0,1.0,49ers,San Francisco,George Kittle,85.0,TE,Questionable,2023-09-08T00:00:00+00:00,Limited Participation In Practice,Groin
